pair,formation_period,trading_period,cumulative_returns
"('AVB', 'BXP')","(datetime.date(2000, 1, 3), datetime.date(2001, 1, 1))","(datetime.date(2001, 1, 2), datetime.date(2001, 1, 31))",-0.11479568481445668
"('CPT', 'REG')","(datetime.date(2000, 1, 3), datetime.date(2001, 1, 1))","(datetime.date(2001, 1, 2), datetime.date(2001, 1, 31))",0.23772668838501332
"('CPT', 'EQR')","(datetime.date(2000, 1, 3), datetime.date(2001, 1, 1))","(datetime.date(2001, 1, 2), datetime.date(2001, 1, 31))",-0.07523345947265625
"('KIM', 'PLD')","(datetime.date(2000, 1, 3), datetime.date(2001, 1, 1))","(datetime.date(2001, 1, 2), datetime.date(2001, 1, 31))",0.07787895202636541
"('ARE', 'CPT')","(datetime.date(2000, 1, 3), datetime.date(2001, 1, 1))","(datetime.date(2001, 1, 2), datetime.date(2001, 1, 31))",0.12026977539062145
"('EQR', 'REG')","(datetime.date(2000, 1, 3), datetime.date(2001, 1, 1))","(datetime.date(2001, 1, 2), datetime.date(2001, 1, 31))",-0.07844066619873047
"('O', 'REG')","(datetime.date(2000, 1, 3), datetime.date(2001, 1, 1))","(datetime.date(2001, 1, 2), datetime.date(2001, 1, 31))",0.08668732643127441
"('DOC', 'KIM')","(datetime.date(2000, 1, 3), datetime.date(2001, 1, 1))","(datetime.date(2001, 1, 2), datetime.date(2001, 1, 31))",0.07477092742919877
"('FRT', 'SPG')","(datetime.date(2000, 1, 3), datetime.date(2001, 1, 1))","(datetime.date(2001, 1, 2), datetime.date(2001, 1, 31))",-0.03547477722167969
"('FRT', 'MAA')","(datetime.date(2000, 1, 3), datetime.date(2001, 1, 1))","(datetime.date(2001, 1, 2), datetime.date(2001, 1, 31))",0.0
"('CPT', 'REG')","(datetime.date(2000, 2, 2), datetime.date(2001, 1, 31))","(datetime.date(2001, 2, 1), datetime.date(2001, 3, 2))",0.08575057983398438
"('AVB', 'BXP')","(datetime.date(2000, 2, 2), datetime.date(2001, 1, 31))","(datetime.date(2001, 2, 1), datetime.date(2001, 3, 2))",0.03190994262694957
"('CPT', 'EQR')","(datetime.date(2000, 2, 2), datetime.date(2001, 1, 31))","(datetime.date(2001, 2, 1), datetime.date(2001, 3, 2))",0.3705387115478551
"('KIM', 'PLD')","(datetime.date(2000, 2, 2), datetime.date(2001, 1, 31))","(datetime.date(2001, 2, 1), datetime.date(2001, 3, 2))",0.009584903717041016
"('EQR', 'REG')","(datetime.date(2000, 2, 2), datetime.date(2001, 1, 31))","(datetime.date(2001, 2, 1), datetime.date(2001, 3, 2))",0.25023555755615234
"('FRT', 'MAA')","(datetime.date(2000, 2, 2), datetime.date(2001, 1, 31))","(datetime.date(2001, 2, 1), datetime.date(2001, 3, 2))",0.0
"('ARE', 'CPT')","(datetime.date(2000, 2, 2), datetime.date(2001, 1, 31))","(datetime.date(2001, 2, 1), datetime.date(2001, 3, 2))",0.15749263763427734
"('O', 'REG')","(datetime.date(2000, 2, 2), datetime.date(2001, 1, 31))","(datetime.date(2001, 2, 1), datetime.date(2001, 3, 2))",0.05412149429321289
"('CAT', 'MAS')","(datetime.date(2000, 2, 2), datetime.date(2001, 1, 31))","(datetime.date(2001, 2, 1), datetime.date(2001, 3, 2))",0.0
"('CPT', 'O')","(datetime.date(2000, 2, 2), datetime.date(2001, 1, 31))","(datetime.date(2001, 2, 1), datetime.date(2001, 3, 2))",-0.013478279113769531
"('CPT', 'EQR')","(datetime.date(2000, 3, 3), datetime.date(2001, 3, 2))","(datetime.date(2001, 3, 3), datetime.date(2001, 4, 1))",-0.11871528625488104
"('CPT', 'REG')","(datetime.date(2000, 3, 3), datetime.date(2001, 3, 2))","(datetime.date(2001, 3, 3), datetime.date(2001, 4, 1))",0.21317577362060547
"('AVB', 'BXP')","(datetime.date(2000, 3, 3), datetime.date(2001, 3, 2))","(datetime.date(2001, 3, 3), datetime.date(2001, 4, 1))",0.5220251083374059
"('KIM', 'PLD')","(datetime.date(2000, 3, 3), datetime.date(2001, 3, 2))","(datetime.date(2001, 3, 3), datetime.date(2001, 4, 1))",-0.13449811935424805
"('NUE', 'WY')","(datetime.date(2000, 3, 3), datetime.date(2001, 3, 2))","(datetime.date(2001, 3, 3), datetime.date(2001, 4, 1))",0.11839532852172852
"('FRT', 'MAA')","(datetime.date(2000, 3, 3), datetime.date(2001, 3, 2))","(datetime.date(2001, 3, 3), datetime.date(2001, 4, 1))",0.0
"('EQR', 'REG')","(datetime.date(2000, 3, 3), datetime.date(2001, 3, 2))","(datetime.date(2001, 3, 3), datetime.date(2001, 4, 1))",0.0
"('CAT', 'MAS')","(datetime.date(2000, 3, 3), datetime.date(2001, 3, 2))","(datetime.date(2001, 3, 3), datetime.date(2001, 4, 1))",0.0
"('O', 'REG')","(datetime.date(2000, 3, 3), datetime.date(2001, 3, 2))","(datetime.date(2001, 3, 3), datetime.date(2001, 4, 1))",0.5599668025970459
"('ARE', 'CPT')","(datetime.date(2000, 3, 3), datetime.date(2001, 3, 2))","(datetime.date(2001, 3, 3), datetime.date(2001, 4, 1))",-0.03707313537597834
"('NUE', 'WY')","(datetime.date(2000, 4, 3), datetime.date(2001, 4, 2))","(datetime.date(2001, 4, 3), datetime.date(2001, 5, 2))",0.09316444396972479
"('CPT', 'EQR')","(datetime.date(2000, 4, 3), datetime.date(2001, 4, 2))","(datetime.date(2001, 4, 3), datetime.date(2001, 5, 2))",0.2658205032348686
"('CPT', 'REG')","(datetime.date(2000, 4, 3), datetime.date(2001, 4, 2))","(datetime.date(2001, 4, 3), datetime.date(2001, 5, 2))",0.0
"('KIM', 'PLD')","(datetime.date(2000, 4, 3), datetime.date(2001, 4, 2))","(datetime.date(2001, 4, 3), datetime.date(2001, 5, 2))",0.05762958526611328
"('CAT', 'MAS')","(datetime.date(2000, 4, 3), datetime.date(2001, 4, 2))","(datetime.date(2001, 4, 3), datetime.date(2001, 5, 2))",-0.35017871856689453
"('EQR', 'REG')","(datetime.date(2000, 4, 3), datetime.date(2001, 4, 2))","(datetime.date(2001, 4, 3), datetime.date(2001, 5, 2))",0.0
"('FRT', 'MAA')","(datetime.date(2000, 4, 3), datetime.date(2001, 4, 2))","(datetime.date(2001, 4, 3), datetime.date(2001, 5, 2))",0.0
"('OMC', 'UPS')","(datetime.date(2000, 4, 3), datetime.date(2001, 4, 2))","(datetime.date(2001, 4, 3), datetime.date(2001, 5, 2))",2.233005523681644
"('O', 'REG')","(datetime.date(2000, 4, 3), datetime.date(2001, 4, 2))","(datetime.date(2001, 4, 3), datetime.date(2001, 5, 2))",0.1022641658782959
"('EQR', 'O')","(datetime.date(2000, 4, 3), datetime.date(2001, 4, 2))","(datetime.date(2001, 4, 3), datetime.date(2001, 5, 2))",-0.02960515022277832
"('CPT', 'EQR')","(datetime.date(2000, 5, 3), datetime.date(2001, 5, 2))","(datetime.date(2001, 5, 3), datetime.date(2001, 6, 1))",0.21002674102783203
"('CPT', 'REG')","(datetime.date(2000, 5, 3), datetime.date(2001, 5, 2))","(datetime.date(2001, 5, 3), datetime.date(2001, 6, 1))",0.1865396499633789
"('NUE', 'WY')","(datetime.date(2000, 5, 3), datetime.date(2001, 5, 2))","(datetime.date(2001, 5, 3), datetime.date(2001, 6, 1))",0.0
"('KIM', 'PLD')","(datetime.date(2000, 5, 3), datetime.date(2001, 5, 2))","(datetime.date(2001, 5, 3), datetime.date(2001, 6, 1))",0.14739656448364258
"('CAT', 'MAS')","(datetime.date(2000, 5, 3), datetime.date(2001, 5, 2))","(datetime.date(2001, 5, 3), datetime.date(2001, 6, 1))",-1.253655433654787
"('FRT', 'MAA')","(datetime.date(2000, 5, 3), datetime.date(2001, 5, 2))","(datetime.date(2001, 5, 3), datetime.date(2001, 6, 1))",0.2319478988647461
"('EQR', 'REG')","(datetime.date(2000, 5, 3), datetime.date(2001, 5, 2))","(datetime.date(2001, 5, 3), datetime.date(2001, 6, 1))",0.0
"('OMC', 'UPS')","(datetime.date(2000, 5, 3), datetime.date(2001, 5, 2))","(datetime.date(2001, 5, 3), datetime.date(2001, 6, 1))",1.001556396484375
"('EQR', 'PLD')","(datetime.date(2000, 5, 3), datetime.date(2001, 5, 2))","(datetime.date(2001, 5, 3), datetime.date(2001, 6, 1))",0.0
"('ODFL', 'UPS')","(datetime.date(2000, 5, 3), datetime.date(2001, 5, 2))","(datetime.date(2001, 5, 3), datetime.date(2001, 6, 1))",0.0
"('CPT', 'EQR')","(datetime.date(2000, 6, 2), datetime.date(2001, 6, 1))","(datetime.date(2001, 6, 2), datetime.date(2001, 7, 1))",-0.03009891510010121
"('FRT', 'MAA')","(datetime.date(2000, 6, 2), datetime.date(2001, 6, 1))","(datetime.date(2001, 6, 2), datetime.date(2001, 7, 1))",-0.019086837768554688
"('CPT', 'REG')","(datetime.date(2000, 6, 2), datetime.date(2001, 6, 1))","(datetime.date(2001, 6, 2), datetime.date(2001, 7, 1))",-0.4424247741699219
"('KIM', 'PLD')","(datetime.date(2000, 6, 2), datetime.date(2001, 6, 1))","(datetime.date(2001, 6, 2), datetime.date(2001, 7, 1))",0.0
"('PSA', 'SPG')","(datetime.date(2000, 6, 2), datetime.date(2001, 6, 1))","(datetime.date(2001, 6, 2), datetime.date(2001, 7, 1))",0.43824672698974076
"('EQR', 'REG')","(datetime.date(2000, 6, 2), datetime.date(2001, 6, 1))","(datetime.date(2001, 6, 2), datetime.date(2001, 7, 1))",0.0
